,IBRA Region Name,IBRA Region Code,Jurisdiction(s),IBRA Area (ha),1 Area Protected (ha),% IBRA Region Protected,2 Contribution to NRS (%),total_ce
0,Arnhem Coast,ARC,NT," 3,335,669 "," 1,779,616 ",53.35,1.17,1
1,Arnhem Plateau,ARP,NT," 2,306,023 "," 1,728,677 ",74.96,1.14,2
2,Australian Alps,AUA,"ACT, NSW, VIC"," 1,232,981 "," 788,727 ",63.97,0.52,11
3,Avon Wheatbelt,AVW,WA," 9,517,104 "," 375,948 ",3.95,0.25,16
4,Ben Lomond,BEL,TAS," 657,500 "," 106,341 ",16.17,0.07,7
5,Brigalow Belt North,BBN,QLD," 13,674,533 "," 320,714 ",2.35,0.21,5
6,Brigalow Belt South,BBS,"NSW, QLD"," 27,219,776 "," 1,452,035 ",5.33,0.96,10
7,Broken Hill Complex,BHC,"NSW, SA"," 5,635,422 "," 211,773 ",3.76,0.14,2
8,Burt Plain,BRT,NT," 7,379,719 "," 493,241 ",6.68,0.33,0
9,Cape York Peninsula,CYP,QLD," 12,256,457 "," 4,106,392 ",33.5,2.71,6
10,Carnarvon,CAR,WA," 8,430,172 "," 1,136,834 ",13.49,0.75,3
11,Central Arnhem,CEA,NT," 3,462,433 "," 1,179,909 ",34.08,0.78,1
12,Central Kimberley,CEK,WA," 7,675,587 "," 2,448,300 ",31.9,1.62,1
13,Central Mackay Coast,CMC,QLD," 1,464,208 "," 201,327 ",13.75,0.13,3
14,Central Ranges,CER,"NT, SA, WA"," 10,164,044 "," 8,265,247 ",81.32,5.45,0
15,Channel Country,CHC,"NSW, QLD, SA"," 30,409,437 "," 3,179,432 ",10.46,2.1,2
16,Cobar Peneplain,COP,NSW," 7,385,346 "," 209,976 ",2.84,0.14,3
17,Coolgardie,COO,WA," 12,912,209 "," 1,617,272 ",12.53,1.07,4
18,Coral Sea,COS,-," 17,167 ", - ,0.0,0.0,0
19,Daly Basin,DAB,NT," 2,092,229 "," 219,032 ",10.47,0.14,1
20,Dampierland,DAL,WA," 8,360,871 "," 1,222,706 ",14.62,0.81,5
21,Darling Riverine Plains,DRP,"NSW, QLD"," 10,699,769 "," 284,332 ",2.66,0.19,2
22,Darwin Coastal,DAC,NT," 2,843,199 "," 878,445 ",30.9,0.58,5
23,Davenport Murchison Ranges,DMR,NT," 5,805,108 "," 129,829 ",2.24,0.09,0
24,Desert Uplands,DEU,QLD," 6,941,095 "," 221,073 ",3.18,0.15,1
25,Einasleigh Uplands,EIU,QLD," 11,625,726 "," 836,806 ",7.2,0.55,4
26,Esperance Plains,ESP,WA," 2,921,327 "," 854,145 ",29.24,0.56,8
27,Eyre Yorke Block,EYB,SA," 6,120,409 "," 925,075 ",15.11,0.61,5
28,Finke,FIN,"NT, SA"," 7,267,416 "," 334,544 ",4.6,0.22,0
29,Flinders Lofty Block,FLB,SA," 6,615,765 "," 591,396 ",8.94,0.39,6
30,Furneaux,FUR,"TAS, VIC"," 537,543 "," 184,701 ",34.36,0.12,11
31,Gascoyne,GAS,WA," 18,075,257 "," 2,702,804 ",14.95,1.78,0
32,Gawler,GAW,SA," 12,002,883 "," 1,910,664 ",15.92,1.26,2
33,Geraldton Sandplains,GES,WA," 3,142,149 "," 595,825 ",18.96,0.39,7
34,Gibson Desert,GID,WA," 15,628,918 "," 9,127,292 ",58.4,6.02,0
35,Great Sandy Desert,GSD,"NT, WA"," 39,486,135 "," 14,656,239 ",37.12,9.67,0
36,Great Victoria Desert,GVD,"SA, WA"," 42,246,564 "," 12,934,593 ",30.62,8.53,0
37,Gulf Coastal,GUC,NT," 2,711,718 "," 829,674 ",30.6,0.55,2
38,Gulf Fall and Uplands,GFU,"NT, QLD"," 11,847,909 "," 2,887,276 ",24.37,1.91,1
39,Gulf Plains,GUP,QLD," 22,041,825 "," 1,370,584 ",6.22,0.9,3
40,Hampton,HAM,"SA, WA"," 1,088,198 "," 159,322 ",14.64,0.11,2
41,Indian Tropical Islands,ITI,"EXT, WA"," 27,329 "," 8,670 ",31.73,0.01,10
42,Jarrah Forest,JAF,WA," 4,509,074 "," 648,239 ",14.38,0.43,20
43,Kanmantoo,KAN,SA," 812,415 "," 164,881 ",20.3,0.11,8
44,King,KIN,TAS," 425,567 "," 84,315 ",19.81,0.06,8
45,Little Sandy Desert,LSD,WA," 11,089,857 "," 5,250,145 ",47.34,3.46,0
46,MacDonnell Ranges,MAC,NT," 3,929,444 "," 579,748 ",14.75,0.38,0
47,Mallee,MAL,WA," 7,397,559 "," 1,334,870 ",18.04,0.88,9
48,Mitchell Grass Downs,MGD,"NT, QLD"," 33,468,761 "," 526,323 ",1.57,0.35,1
49,Mount Isa Inlier,MII,"NT, QLD"," 6,778,263 "," 376,689 ",5.56,0.25,1
